"filename", "language", "JSON with Comments", "TypeScript", "SCSS", "TypeScript JSX", "JavaScript JSX", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\pages\components\Loading.tsx", "TypeScript JSX", 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\pages\components\MainPost.tsx", "TypeScript JSX", 0, 0, 0, 54, 0, 0, 0, 0, 0, 7, 61
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\pages\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 149, 0, 0, 0, 0, 4, 17, 170
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\pages\components\SearchForm.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 0, 5, 38
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\pages\components\Sidenav.tsx", "TypeScript JSX", 0, 0, 0, 57, 0, 0, 0, 0, 0, 8, 65
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\pages\components\SidenavPart.tsx", "TypeScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 0, 4, 41
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\pages\components\SinglePost.tsx", "TypeScript JSX", 0, 0, 0, 77, 0, 0, 0, 0, 2, 7, 86
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\pages\components\SkeletonLoad.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 0, 6, 36
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\pages\components\form\GenderInput.tsx", "TypeScript JSX", 0, 0, 0, 52, 0, 0, 0, 0, 1, 7, 60
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\pages\components\form\ImageInputField.tsx", "TypeScript JSX", 0, 0, 0, 43, 0, 0, 0, 0, 0, 6, 49
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\pages\components\form\LocationInput.tsx", "TypeScript JSX", 0, 0, 0, 64, 0, 0, 0, 0, 1, 7, 72
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\pages\components\index.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\pages\dashboard\UserPosts.tsx", "TypeScript JSX", 0, 0, 0, 89, 0, 0, 0, 0, 0, 7, 96
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\pages\dashboard\index.tsx", "TypeScript JSX", 0, 0, 0, 53, 0, 0, 0, 0, 0, 6, 59
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\pages\index.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 2, 43
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\pages\settings\AccountSettings.tsx", "TypeScript JSX", 0, 0, 0, 133, 0, 0, 0, 0, 0, 13, 146
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\pages\settings\ProfileSettings.tsx", "TypeScript JSX", 0, 0, 0, 143, 0, 0, 0, 0, 1, 20, 164
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\pages\settings\index.tsx", "TypeScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 0, 5, 44
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\scss\_about.scss", "SCSS", 0, 0, 161, 0, 0, 0, 0, 0, 1, 28, 190
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\scss\_author_info.scss", "SCSS", 0, 0, 56, 0, 0, 0, 0, 0, 2, 10, 68
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\scss\_bs_layout.scss", "SCSS", 0, 0, 240, 0, 0, 0, 0, 0, 0, 39, 279
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\scss\_config.scss", "SCSS", 0, 0, 191, 0, 0, 0, 0, 0, 6, 29, 226
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\scss\_contact.scss", "SCSS", 0, 0, 79, 0, 0, 0, 0, 0, 0, 13, 92
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\scss\_defaults.scss", "SCSS", 0, 0, 119, 0, 0, 0, 0, 0, 3, 21, 143
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\scss\_display_posts.scss", "SCSS", 0, 0, 61, 0, 0, 0, 0, 0, 0, 13, 74
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\scss\_display_users.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\scss\_footer.scss", "SCSS", 0, 0, 52, 0, 0, 0, 0, 0, 0, 11, 63
